accel_time_list,accel_x_list,accel_y_list,accel_z_list
2,-1.175,-1.2375,4.7125
2.02,-1.51,-1.28,4.53
2.04,-1.8325,-1.34,4.3575
2.06,-2.135,-1.4325,4.205
2.08,-2.62,-1.555,4.0525
2.1,-3.36,-1.6725,3.8675
2.12,-4.3025,-1.785,3.6375
2.14,-5.51,-1.9075,3.3825
2.16,-7.1575,-2.0475,3.1325
2.18,-9.1275,-2.2375,2.8325
2.2,-11.19,-2.5175,2.4675
2.22,-14.1425,-2.9625,2.0775
2.24,-24.9475,-3.745,6.0125
2.26,-34.545,-4.3525,12.7375
2.28,-19.4325,-3.8825,9.785
2.3,-8.1225,-4.315,7.6575
2.32,-9.56,-4.945,5.66
2.34,-10.635,-5.0425,3.145
2.36,-8.605,-4.55,0.9225
2.38,-7.1075,-3.9575,-0.3875
2.4,-6.95,-3.7575,-1.1525
2.42,-7.195,-3.9075,-1.5225
2.44,-7.3725,-4.16,-1.32
2.46,-7.9075,-4.2625,0.095
2.48,-8.435,-4.1825,1.2825
2.5,-8.665,-3.9975,1.895
2.52,-8.6275,-3.8975,1.9175
2.54,-8.5775,-3.8025,1.735
2.56,-8.5775,-3.705,1.4825
2.58,-8.6075,-3.65,1.3525
2.6,-8.6475,-3.6175,1.3825
2.62,-8.6375,-3.5775,1.45
2.64,-8.5625,-3.555,1.4425
2.66,-8.475,-3.5575,1.395
2.68,-8.4225,-3.5875,1.3875
2.7,-8.4225,-3.6325,1.42
2.72,-8.4775,-3.6725,1.485
2.74,-8.515,-3.6975,1.53
2.76,-8.5075,-3.71,1.5275
2.78,-8.4825,-3.7025,1.4975
2.8,-8.47,-3.6875,1.46
2.82,-8.4725,-3.6625,1.4275
2.84,-8.4675,-3.6425,1.42
2.86,-8.45,-3.6275,1.42
2.88,-8.4425,-3.6175,1.43
2.9,-8.4525,-3.615,1.4475
2.92,-8.465,-3.61,1.46
2.94,-8.47,-3.5975,1.4675
2.96,-8.47,-3.5875,1.465
2.98,-8.47,-3.5775,1.46
3,-8.475,-3.57,1.4525
3.02,-8.48,-3.5575,1.445
3.04,-8.48,-3.5425,1.4425
3.06,-8.4825,-3.5225,1.44
3.08,-8.49,-3.505,1.44
3.1,-8.495,-3.495,1.4475
3.12,-8.4925,-3.485,1.46
3.14,-8.495,-3.4775,1.4725
3.16,-8.4975,-3.4725,1.475
3.18,-8.4975,-3.4675,1.4725
3.2,-8.495,-3.465,1.4675
3.22,-8.4925,-3.4625,1.4675
3.24,-8.495,-3.455,1.4675
3.26,-8.4975,-3.4475,1.47
3.28,-8.4975,-3.4425,1.4725
3.3,-8.5025,-3.435,1.475
3.32,-8.5075,-3.4275,1.4775
3.34,-8.51,-3.4175,1.48
3.36,-8.5075,-3.4075,1.4825
3.38,-8.5075,-3.4,1.4875
3.4,-8.5125,-3.395,1.49
3.42,-8.5175,-3.3925,1.4925
3.44,-8.515,-3.39,1.4925
3.46,-8.5175,-3.3875,1.4925
3.48,-8.5225,-3.3875,1.4925
3.5,-8.5225,-3.385,1.4975
3.52,-8.52,-3.3775,1.5025
3.54,-8.52,-3.365,1.505
3.56,-8.5225,-3.3525,1.505
3.58,-8.53,-3.3425,1.505
3.6,-8.53,-3.335,1.5075
3.62,-8.5275,-3.3275,1.5125
3.64,-8.525,-3.3225,1.52
3.66,-8.53,-3.3225,1.52
3.68,-8.5325,-3.32,1.52
3.7,-8.5325,-3.3175,1.52
3.72,-8.53,-3.3175,1.5225
3.74,-8.53,-3.315,1.525
3.76,-8.5325,-3.31,1.5275
3.78,-8.5325,-3.3075,1.5275
3.8,-8.5325,-3.3025,1.53
3.82,-8.535,-3.2975,1.53
3.84,-8.5375,-3.2925,1.53
3.86,-8.54,-3.2875,1.5325
3.88,-8.54,-3.28,1.5325
3.9,-8.5425,-3.27,1.535
3.92,-8.54,-3.26,1.535
3.94,-8.5425,-3.255,1.5375
3.96,-8.5425,-3.25,1.54
3.98,-8.5425,-3.2525,1.54
4,-8.545,-3.2525,1.54
4.02,-8.545,-3.255,1.5425
4.04,-8.545,-3.255,1.5425
4.06,-8.5475,-3.255,1.54
4.08,-8.55,-3.25,1.5425
4.1,-8.5475,-3.2475,1.545
4.12,-8.5475,-3.2425,1.545
4.14,-8.55,-3.24,1.545
4.16,-8.55,-3.235,1.545
4.18,-8.55,-3.23,1.5475
4.2,-8.55,-3.2275,1.55
4.22,-8.5525,-3.225,1.55
4.24,-8.5525,-3.2225,1.5525
4.26,-8.5525,-3.22,1.5525
4.28,-8.5525,-3.22,1.5525
4.3,-8.5525,-3.22,1.5525
4.32,-8.5525,-3.22,1.555
4.34,-8.555,-3.215,1.555
4.36,-8.5525,-3.2125,1.555
4.38,-8.5525,-3.21,1.5575
4.4,-8.555,-3.2075,1.5575
4.42,-8.555,-3.205,1.56
4.44,-8.555,-3.205,1.56
4.46,-8.555,-3.205,1.56
4.48,-8.5575,-3.205,1.5625
4.5,-8.56,-3.205,1.5625
4.52,-8.5575,-3.2025,1.5625
4.54,-8.555,-3.2,1.565
4.56,-8.555,-3.1975,1.5675
4.58,-8.555,-3.195,1.5675
4.6,-8.555,-3.1925,1.5675
4.62,-8.555,-3.1925,1.5675
4.64,-8.5575,-3.19,1.57
4.66,-8.5575,-3.1875,1.57
4.68,-8.5575,-3.185,1.5725
4.7,-8.56,-3.185,1.575
4.72,-8.56,-3.185,1.575
4.74,-8.56,-3.1825,1.5775
4.76,-8.5575,-3.18,1.5775
4.78,-8.56,-3.18,1.5775
4.8,-8.56,-3.1775,1.58
4.82,-8.5625,-3.175,1.58
4.84,-8.5625,-3.175,1.58
4.86,-8.5625,-3.1725,1.5825
4.88,-8.5625,-3.17,1.585
4.9,-8.5625,-3.17,1.585
4.92,-8.5625,-3.1675,1.5875
4.94,-8.5625,-3.1675,1.5875
4.96,-8.5625,-3.165,1.5875
4.98,-8.5625,-3.165,1.59
5,-8.5625,-3.165,1.59
5.02,-8.565,-3.165,1.5925
5.04,-8.5625,-3.1625,1.5925
5.06,-8.5625,-3.165,1.5925
5.08,-8.565,-3.1625,1.595
5.1,-8.565,-3.16,1.595
5.12,-8.565,-3.1575,1.5975
5.14,-8.565,-3.1525,1.5975
