gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
2,-0.499,-0.36,0.629
2.02,-0.549,-0.091,0.611
2.04,-0.602,0.192,0.596
2.06,-0.646,0.512,0.589
2.08,-0.678,0.827,0.586
2.1,-0.704,1.13,0.585
2.12,-0.733,1.416,0.59
2.14,-0.773,1.681,0.603
2.16,-0.831,1.924,0.621
2.18,-0.921,2.144,0.631
2.2,-1.024,2.342,0.644
2.22,-1.085,2.519,0.674
2.24,-1.18,2.582,0.691
2.26,-1.125,2.217,0.603
2.28,-1.142,1.844,0.616
2.3,-1.117,1.698,0.619
2.32,-1.047,1.635,0.578
2.34,-0.911,1.452,0.573
2.36,-0.778,1.276,0.551
2.38,-0.741,1.194,0.535
2.4,-0.761,1.167,0.522
2.42,-0.754,1.146,0.51
2.44,-0.691,1.134,0.498
2.46,-0.598,1.099,0.487
2.48,-0.505,1.038,0.468
2.5,-0.432,0.959,0.454
2.52,-0.375,0.889,0.443
2.54,-0.33,0.838,0.435
2.56,-0.3,0.802,0.43
2.58,-0.284,0.773,0.424
2.6,-0.275,0.742,0.419
2.62,-0.276,0.704,0.412
2.64,-0.285,0.668,0.404
2.66,-0.296,0.639,0.397
2.68,-0.303,0.617,0.39
2.7,-0.305,0.597,0.382
2.72,-0.301,0.574,0.374
2.74,-0.291,0.544,0.367
2.76,-0.276,0.513,0.36
2.78,-0.257,0.488,0.354
2.8,-0.238,0.469,0.348
2.82,-0.222,0.453,0.341
2.84,-0.211,0.439,0.334
2.86,-0.202,0.426,0.326
2.88,-0.194,0.415,0.319
2.9,-0.184,0.404,0.313
2.92,-0.172,0.391,0.307
2.94,-0.16,0.378,0.302
2.96,-0.15,0.367,0.297
2.98,-0.14,0.357,0.292
3,-0.129,0.347,0.287
3.02,-0.118,0.339,0.282
3.04,-0.109,0.331,0.277
3.06,-0.102,0.323,0.272
3.08,-0.098,0.316,0.267
3.1,-0.096,0.309,0.263
3.12,-0.094,0.301,0.259
3.14,-0.092,0.294,0.255
3.16,-0.089,0.287,0.251
3.18,-0.085,0.281,0.247
3.2,-0.081,0.275,0.243
3.22,-0.076,0.27,0.24
3.24,-0.072,0.265,0.236
3.26,-0.068,0.261,0.232
3.28,-0.064,0.256,0.228
3.3,-0.06,0.252,0.225
3.32,-0.057,0.247,0.222
3.34,-0.054,0.243,0.219
3.36,-0.053,0.239,0.216
3.38,-0.051,0.235,0.213
3.4,-0.05,0.232,0.21
3.42,-0.049,0.228,0.208
3.44,-0.047,0.224,0.205
3.46,-0.045,0.22,0.203
3.48,-0.042,0.217,0.201
3.5,-0.038,0.213,0.199
3.52,-0.033,0.21,0.196
3.54,-0.031,0.207,0.193
3.56,-0.03,0.204,0.191
3.58,-0.03,0.201,0.189
3.6,-0.032,0.198,0.186
3.62,-0.034,0.195,0.184
3.64,-0.036,0.192,0.181
3.66,-0.037,0.189,0.179
3.68,-0.038,0.186,0.176
3.7,-0.038,0.183,0.174
3.72,-0.037,0.181,0.172
3.74,-0.036,0.178,0.169
3.76,-0.035,0.176,0.167
3.78,-0.034,0.173,0.164
3.8,-0.032,0.171,0.162
3.82,-0.031,0.169,0.159
3.84,-0.03,0.167,0.157
3.86,-0.029,0.165,0.155
3.88,-0.028,0.162,0.153
3.9,-0.029,0.16,0.15
3.92,-0.031,0.158,0.148
3.94,-0.034,0.156,0.146
3.96,-0.037,0.153,0.144
3.98,-0.039,0.151,0.142
4,-0.04,0.149,0.14
4.02,-0.041,0.147,0.138
4.04,-0.041,0.146,0.136
4.06,-0.04,0.144,0.134
4.08,-0.039,0.142,0.132
4.1,-0.038,0.14,0.131
4.12,-0.037,0.138,0.129
4.14,-0.037,0.137,0.127
4.16,-0.036,0.135,0.125
